"Host.Species","Lake","Year","Julian.Day","Julian","Date","Date2","Total","Uninfected.Adult","Uninfected.Juv","Uninfected.Males","Uninfected.Ephip","pasteuria.prev","brood.prev","micG.prev","coke.prev","Host.Density"
"dentifera","Cedar",2022,2022192,192,"11-Jul-22","7/11/2022",220,61,153,0,0,0,0,0.0181818181818182,0,29164.7
"dentifera","Cedar",2022,2022206,206,"25-Jul-22","7/25/2022",304,91,154,0,0,0.00657894736842105,0,0.177631578947368,0,29505.6
"dentifera","Cedar",2022,2022220,220,"8-Aug-22","8/8/2022",226,63,121,0,0,0.00442477876106195,0,0.18141592920354,0,59920.3
"dentifera","Cedar",2022,2022234,234,"22-Aug-22","8/22/2022",230,46,132,0,0,0,0,0.226086956521739,0,27176.2
"dentifera","Cedar",2022,2022249,249,"6-Sep-22","9/6/2022",201,17,157,0,0,0,0,0.134328358208955,0,36416.1
"dentifera","Cedar",2022,2022262,262,"19-Sep-22","9/19/2022",264,54,129,0,0,0.0151515151515152,0.00757575757575758,0.265151515151515,0.0378787878787879,18514.9
"dentifera","Cedar",2022,2022276,276,"3-Oct-22","10/3/2022",224,14,25,0,0,0.0223214285714286,0.0714285714285714,0.200892857142857,0.741071428571429,19023.4
"dentifera","Cedar",2022,2022290,290,"17-Oct-22","10/17/2022",256,9,37,56,1,0.01171875,0.03125,0.015625,0.578125,19566.9
"dentifera","Cedar",2022,2022304,304,"31-Oct-22","10/31/2022",229,32,57,89,3,0,0.00436681222707424,0.00436681222707424,0.200873362445415,14002.5
"dubia","Cedar",2022,2022152,152,"1-Jun-22","6/1/2022",241,89,146,0,0,0,0,0,0.024896265560166,15845.5
"dubia","Cedar",2022,2022192,192,"11-Jul-22","7/11/2022",339,99,236,0,0,0,0,0,0,9212.7
"dubia","Cedar",2022,2022206,206,"25-Jul-22","7/25/2022",95,28,67,0,0,0,0,0,0,2581.7
"dubia","Cedar",2022,2022220,220,"8-Aug-22","8/8/2022",105,53,52,0,0,0,0,0,0,2853.5
"dubia","Cedar",2022,2022234,234,"22-Aug-22","8/22/2022",83,30,52,0,0,0,0,0,0,2255.6
"dubia","Cedar",2022,2022249,249,"6-Sep-22","9/6/2022",10,2,8,0,0,NA,NA,NA,NA,271.8
"dubia","Cedar",2022,2022262,262,"19-Sep-22","9/19/2022",1,0,1,0,0,NA,NA,NA,NA,44.4
"dubia","Cedar",2022,2022304,304,"31-Oct-22","10/31/2022",1,1,0,0,0,NA,NA,NA,NA,122.3
"pulicaria","Cedar",2022,2022152,152,"1-Jun-22","6/1/2022",267,158,88,16,0,0,0,0,0.0149812734082397,70983.1
"pulicaria","Cedar",2022,2022192,192,"11-Jul-22","7/11/2022",301,67,230,0,0,0,0,0,0.0132890365448505,8180
"pulicaria","Cedar",2022,2022206,206,"25-Jul-22","7/25/2022",111,40,71,0,0,0,0,0,0,3016.6
"pulicaria","Cedar",2022,2022220,220,"8-Aug-22","8/8/2022",32,13,19,0,0,0,0,0,0,917.8
"pulicaria","Cedar",2022,2022234,234,"22-Aug-22","8/22/2022",8,6,2,0,0,NA,NA,NA,NA,217.4
"pulicaria","Cedar",2022,2022249,249,"6-Sep-22","9/6/2022",8,3,5,0,0,NA,NA,NA,NA,217.4
"pulicaria","Cedar",2022,2022262,262,"19-Sep-22","9/19/2022",4,3,1,0,0,NA,NA,NA,NA,177.5
"pulicaria","Cedar",2022,2022276,276,"3-Oct-22","10/3/2022",12,5,5,0,0,NA,NA,NA,NA,407.6
"pulicaria","Cedar",2022,2022290,290,"17-Oct-22","10/17/2022",1,1,0,0,0,NA,NA,NA,NA,42.2
"pulicaria","Cedar",2022,2022304,304,"31-Oct-22","10/31/2022",4,1,3,0,0,NA,NA,NA,NA,244.6
"retrocurva","Cedar",2022,2022152,152,"1-Jun-22","6/1/2022",168,123,31,0,0,0,0,0,0.0833333333333333,4565.6
"retrocurva","Cedar",2022,2022192,192,"11-Jul-22","7/11/2022",68,33,35,0,0,0,0,0,0,1848
"retrocurva","Cedar",2022,2022206,206,"25-Jul-22","7/25/2022",48,15,32,0,0,0.0208333333333333,0,0,0,1304.5
"retrocurva","Cedar",2022,2022220,220,"8-Aug-22","8/8/2022",48,23,25,0,0,0,0,0,0,1304.5
"retrocurva","Cedar",2022,2022234,234,"22-Aug-22","8/22/2022",82,34,48,0,0,0,0,0,0,2228.5
"retrocurva","Cedar",2022,2022249,249,"6-Sep-22","9/6/2022",64,16,48,0,0,0,0,0,0,1739.3
"retrocurva","Cedar",2022,2022262,262,"19-Sep-22","9/19/2022",103,48,55,0,0,0,0,0,0,2799.2
"retrocurva","Cedar",2022,2022276,276,"3-Oct-22","10/3/2022",225,28,51,0,0,0,0.0888888888888889,0.00888888888888889,0.631111111111111,7643.3
"retrocurva","Cedar",2022,2022290,290,"17-Oct-22","10/17/2022",181,22,100,5,0,0,0.0110497237569061,0.00552486187845304,0.292817679558011,4918.9
"retrocurva","Cedar",2022,2022304,304,"31-Oct-22","10/31/2022",214,74,52,32,2,0,0.00467289719626168,0,0.252336448598131,26170.7
"ambigua","CrookedP",2022,2022158,158,"7-Jun-22","6/7/2022",249,65,90,19,5,0,0,0,0,101503.2
"ambigua","CrookedP",2022,2022201,201,"20-Jul-22","7/20/2022",104,26,66,0,0,0,0,0,0.115384615384615,2826.3
"ambigua","CrookedP",2022,2022215,215,"3-Aug-22","8/3/2022",43,22,12,0,0,0,0,0,0.0930232558139535,1178.7
"ambigua","CrookedP",2022,2022229,229,"17-Aug-22","8/17/2022",16,8,5,0,0,NA,NA,NA,NA,434.8
"ambigua","CrookedP",2022,2022243,243,"31-Aug-22","8/31/2022",17,8,2,0,0,NA,NA,NA,NA,577.5
"ambigua","CrookedP",2022,2022299,299,"26-Oct-22","10/26/2022",1,1,0,0,0,NA,NA,NA,NA,237.8
"ambigua","CrookedP",2022,2022313,313,"9-Nov-22","11/9/2022",3,3,0,0,0,NA,NA,NA,NA,815.3
"ceriodaphnia","CrookedP",2022,2022158,158,"7-Jun-22","6/7/2022",338,211,127,NA,0,0,0,0,0,9185.6
"ceriodaphnia","CrookedP",2022,2022201,201,"20-Jul-22","7/20/2022",251,160,91,NA,0,0,0,0,0,6821.2
"ceriodaphnia","CrookedP",2022,2022215,215,"3-Aug-22","8/3/2022",215,124,91,NA,0,0,0,0,0,8415.7
"ceriodaphnia","CrookedP",2022,2022229,229,"17-Aug-02","8/17/2022",261,148,113,NA,0,0,0,0,0,7093
"ceriodaphnia","CrookedP",2022,2022243,243,"31-Aug-22","8/31/2022",340,162,178,NA,0,0,0,0,0,9239.9
"ceriodaphnia","CrookedP",2022,2022257,257,"14-Sep-22","9/14/2022",40,20,20,NA,0,0,0,0,0,8271
"ceriodaphnia","CrookedP",2022,2022271,271,"28-Sep-22","9/28/2022",208,155,53,NA,0,0,0,0,0,14962.9
"ceriodaphnia","CrookedP",2022,2022285,285,"12-Oct-22","10/12/2022",71,39,22,NA,5,0,0,0,0,1929.5
"ceriodaphnia","CrookedP",2022,2022299,299,"26-Oct-22","10/26/2022",4,3,1,NA,0,NA,NA,NA,NA,951.2
"ceriodaphnia","CrookedP",2022,2022313,313,"9-Nov-22","11/9/2022",14,13,0,NA,1,NA,NA,NA,NA,380.5
"dentifera","CrookedP",2022,2022158,158,"7-Jun-22","6/7/2022",219,100,118,0,1,0,0,0,0,14170.5
"dentifera","CrookedP",2022,2022201,201,"20-Jul-22","7/20/2022",248,36,133,0,0,0,0,0,0.318548387096774,84246.3
